query_name,columns,values
"Total orders, revenue, and averages",total_orders | total_revenue | average_order_value | average_quantity,1200 | 1264761.96 | 1053.9683 | 2.9458333333333333
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Chair | 178 | 562 | 195620.11 | 1098.9893820224718
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Printer | 181 | 542 | 195612.61000000002 | 1080.7326519337018
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Laptop | 173 | 535 | 192126.56 | 1110.5581502890172
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Tablet | 179 | 497 | 186568.95 | 1042.2846368715084
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Monitor | 163 | 480 | 175651.41 | 1077.6160122699387
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Desk | 170 | 508 | 167459.93 | 985.0584117647059
Revenue by product,product | order_count | units_sold | revenue | average_order_value,Phone | 156 | 411 | 151722.39 | 972.5794230769231
Order status performance,order_status | order_count | revenue,Cancelled | 250 | 276396.21
Order status performance,order_status | order_count | revenue,Returned | 247 | 243277.7
Order status performance,order_status | order_count | revenue,Pending | 237 | 256328.15
Order status performance,order_status | order_count | revenue,Shipped | 235 | 246159.58
Order status performance,order_status | order_count | revenue,Delivered | 231 | 242600.32
Referral source performance,referral_source | orders | revenue | average_order_value,Instagram | 259 | 275285.45 | 1062.8781853281853
Referral source performance,referral_source | orders | revenue | average_order_value,Email | 250 | 261808.55 | 1047.2341999999999
Referral source performance,referral_source | orders | revenue | average_order_value,Google | 241 | 250441.48 | 1039.176265560166
Referral source performance,referral_source | orders | revenue | average_order_value,Facebook | 228 | 250410.9 | 1098.2934210526316
Referral source performance,referral_source | orders | revenue | average_order_value,Referral | 222 | 226815.58 | 1021.6918018018017
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200107 | 2023-03-27 | C16775 | Printer | 5 | 3353.75
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200463 | 2023-05-26 | C25276 | Laptop | 5 | 3313.9
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200492 | 2023-10-25 | C39074 | Laptop | 5 | 3032.6
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200000 | 2023-01-04 | C72649 | Monitor | 5 | 2853.1
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200389 | 2023-12-17 | C29703 | Desk | 4 | 2790.0
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD201153 | 2024-12-16 | C98317 | Monitor | 4 | 2786.84
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD200222 | 2023-05-04 | C43124 | Chair | 4 | 2773.44
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD201087 | 2025-03-23 | C84134 | Laptop | 4 | 2772.28
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD201156 | 2023-07-19 | C20512 | Laptop | 4 | 2763.12
High value shipped orders,order_id | order_date | customer_id | product | quantity | total_price,ORD201076 | 2023-05-08 | C99116 | Laptop | 4 | 2746.44
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-01 | 47 | 56685.75 | 1206.0797872340424
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-02 | 37 | 40117.659999999996 | 1084.2610810810809
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-03 | 43 | 48609.37 | 1130.450465116279
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-04 | 31 | 27751.71 | 895.2164516129031
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-05 | 49 | 63836.840000000004 | 1302.7926530612247
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-06 | 45 | 49500.19 | 1100.0042222222223
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-07 | 44 | 42820.659999999996 | 973.1968181818181
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-08 | 51 | 54352.14 | 1065.7282352941177
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-09 | 29 | 29526.670000000002 | 1018.1610344827587
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-10 | 47 | 52607.85 | 1119.3159574468084
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-11 | 41 | 43079.67 | 1050.7236585365854
Monthly revenue trend,order_month | orders | revenue | average_order_value,2023-12 | 46 | 43754.73 | 951.1897826086957
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-01 | 32 | 38528.08 | 1204.0025
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-02 | 32 | 36909.57 | 1153.4240625
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-03 | 36 | 36030.9 | 1000.8583333333333
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-04 | 50 | 49613.14 | 992.2628
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-05 | 34 | 27909.11 | 820.8561764705883
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-06 | 53 | 68068.54000000001 | 1284.3120754716983
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-07 | 43 | 42963.98 | 999.1623255813954
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-08 | 28 | 31991.07 | 1142.5382142857143
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-09 | 44 | 39794.98 | 904.4313636363637
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-10 | 31 | 37226.97 | 1200.8700000000001
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-11 | 35 | 32413.76 | 926.1074285714285
Monthly revenue trend,order_month | orders | revenue | average_order_value,2024-12 | 41 | 38785.770000000004 | 945.9943902439026
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-01 | 27 | 29099.4 | 1077.7555555555557
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-02 | 37 | 35317.55 | 954.5283783783784
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-03 | 49 | 39200.66 | 800.0134693877552
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-04 | 32 | 31821.2 | 994.4125
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-05 | 37 | 43396.64 | 1172.882162162162
Monthly revenue trend,order_month | orders | revenue | average_order_value,2025-06 | 49 | 53047.4 | 1082.6000000000001
